Country,Subject Descriptor,Units,Scale,"Country/Series-specific Notes",2019,2020,2021
Cyprus,"Inflation, average consumer prices",Percent change,,,0.556,0.7,1
Cyprus,"Inflation, end of period consumer prices",Percent change,,,0.778,0.8,1
Cyprus,Unemployment rate,Percent of total labor force,,,7.075,8.824,7.378
Cyprus,General government net lending/borrowing,Percent of GDP,,,2.749,-1.809,1.935
Cyprus,Current account balance,Percent of GDP,,,-6.715,-8.286,-5.604
Czech Republic,"Gross domestic product, constant prices",Percent change,,,2.566,-6.5,7.501
Czech Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,412.978,388.587,425.879
Czech Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.183,-6.63,7.349
Czech Republic,"Inflation, average consumer prices",Percent change,,,2.856,2.073,2
Czech Republic,"Inflation, end of period consumer prices",Percent change,,,3.208,2,2
Czech Republic,Unemployment rate,Percent of total labor force,,,2.001,7.5,6
Czech Republic,General government net lending/borrowing,Percent of GDP,,,0.272,-4.726,-1.717
Czech Republic,Current account balance,Percent of GDP,,,-0.015,-2.057,-0.86
Denmark,"Gross domestic product, constant prices",Percent change,,,2.367,-6.5,6
Denmark,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,319.491,300.621,324.872
Denmark,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.928,-7.04,5.38
Denmark,"Inflation, average consumer prices",Percent change,,,0.729,0.7,1.2
Denmark,"Inflation, end of period consumer prices",Percent change,,,0.784,0.7,1.2
Denmark,Unemployment rate,Percent of total labor force,,,5.033,6.5,6.025
Denmark,General government net lending/borrowing,Percent of GDP,,,2.496,-7.036,-0.254
Denmark,Current account balance,Percent of GDP,,,7.86,4.813,5.282
Djibouti,"Gross domestic product, constant prices",Percent change,,,7.498,1,8.5
Djibouti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,6.259,6.362,7.037
Djibouti,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.57,-1.751,5.545
Djibouti,"Inflation, average consumer prices",Percent change,,,3.319,2.898,2.757
Djibouti,"Inflation, end of period consumer prices",Percent change,,,3.257,3.54,2
Djibouti,General government net lending/borrowing,Percent of GDP,,,-0.828,-2.724,-1.725
Djibouti,Current account balance,Percent of GDP,,,24.71,-0.803,0.193
Dominica,"Gross domestic product, constant prices",Percent change,,,9.205,-4.677,3.442
Dominica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.848,0.813,0.858
Dominica,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,9.205,-4.677,3.442
Dominica,"Inflation, average consumer prices",Percent change,,,1.607,1.752,1.882
Dominica,"Inflation, end of period consumer prices",Percent change,,,1.761,1.831,2
Dominica,General government net lending/borrowing,Percent of GDP,,,-9.17,-4.53,-0.558
Dominica,Current account balance,Percent of GDP,,,-29.358,-33.833,-26.4
Dominican Republic,"Gross domestic product, constant prices",Percent change,,,5.071,-0.965,4
Dominican Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,199.395,198.725,210.703
Dominican Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.141,-1.946,2.97
Dominican Republic,"Inflation, average consumer prices",Percent change,,,1.811,3.549,3.603
Dominican Republic,"Inflation, end of period consumer prices",Percent change,,,3.656,3,4.04
Dominican Republic,Unemployment rate,Percent of total labor force,,,6.167,9,7
Dominican Republic,General government net lending/borrowing,Percent of GDP,,,-2.195,-4.408,-2.871
Dominican Republic,Current account balance,Percent of GDP,,,-1.393,-5.234,-3.686
Ecuador,"Gross domestic product, constant prices",Percent change,,,0.054,-6.271,3.862
Ecuador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,203.611,192.056,203.363
Ecuador,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.363,-7.569,2.423
Ecuador,"Inflation, average consumer prices",Percent change,,,0.266,-0.005,1.163
Ecuador,"Inflation, end of period consumer prices",Percent change,,,-0.065,0.136,2.263
Ecuador,Unemployment rate,Percent of total labor force,,,3.84,6.477,5.856
Ecuador,General government net lending/borrowing,Percent of GDP,,,-2.799,-7.034,-4.412
Ecuador,Current account balance,Percent of GDP,,,-0.363,-5.684,-3.593
Egypt,"Gross domestic product, constant prices",Percent change,,,5.558,1.952,2.829
Egypt,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,391.27","1,427.43","1,496.43"
Egypt,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.184,-0.341,0.517
Egypt,"Inflation, average consumer prices",Percent change,,,13.865,5.857,8.23
Egypt,"Inflation, end of period consumer prices",Percent change,,,9.377,6.212,8.978
Egypt,Unemployment rate,Percent of total labor force,,,8.612,10.294,11.611
Egypt,General government net lending/borrowing,Percent of GDP,,,-7.409,-7.676,-6.62
Egypt,Current account balance,Percent of GDP,,,-3.603,-4.257,-4.511
El Salvador,"Gross domestic product, constant prices",Percent change,,,2.385,-5.44,4.46
El Salvador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,55.578,52.888,56.324
El Salvador,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.857,-5.899,3.949
El Salvador,"Inflation, average consumer prices",Percent change,,,0.074,0.064,0.6
El Salvador,"Inflation, end of period consumer prices",Percent change,,,-0.009,0.4,0.8
El Salvador,Unemployment rate,Percent of total labor force,,,6.733,7.9,7.5
El Salvador,General government net lending/borrowing,Percent of GDP,,,-2.919,-8.568,-4.576
El Salvador,Current account balance,Percent of GDP,,,-2.064,-4.136,-4.262
Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,,-6.096,-5.492,2.255
Equatorial Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,28.208,26.828,27.968
Equatorial Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-9.286,-8.595,-0.989
Equatorial Guinea,"Inflation, average consumer prices",Percent change,,,0.597,1.653,1.653
Equatorial Guinea,"Inflation, end of period consumer prices",Percent change,,,4.129,2.117,2.183
Equatorial Guinea,General government net lending/borrowing,Percent of GDP,,,1.74,-4.756,-2.377
Equatorial Guinea,Current account balance,Percent of GDP,,,-5.808,-10.394,-6.984
Eritrea,"Gross domestic product, constant prices",Percent change,,,3.836,0.109,5.851
Eritrea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,6.591,6.64,7.165
Eritrea,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.95,-1.642,4.071
Eritrea,"Inflation, average consumer prices",Percent change,,,-16.365,4.461,2.449
Eritrea,"Inflation, end of period consumer prices",Percent change,,,27.205,4,2
Eritrea,General government net lending/borrowing,Percent of GDP,,,-1.477,-4.97,-4.529
Eritrea,Current account balance,Percent of GDP,,,12.106,10.188,9.369
Estonia,"Gross domestic product, constant prices",Percent change,,,4.334,-7.5,7.874
Estonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,47.807,44.503,48.943
Estonia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.111,-7.547,7.845
Estonia,"Inflation, average consumer prices",Percent change,,,2.268,1.5,2
Estonia,"Inflation, end of period consumer prices",Percent change,,,1.795,1.5,2
Estonia,Unemployment rate,Percent of total labor force,,,4.435,6,4.69
Estonia,General government net lending/borrowing,Percent of GDP,,,-0.396,-8.294,-3.028
Estonia,Current account balance,Percent of GDP,,,1.745,-2.688,-1.913
Eswatini,"Gross domestic product, constant prices",Percent change,,,1.037,-0.941,1.806
Eswatini,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,12.407,12.368,12.837
Eswatini,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.046,-1.99,0.728
Eswatini,"Inflation, average consumer prices",Percent change,,,2.584,3.592,4.488
Eswatini,"Inflation, end of period consumer prices",Percent change,,,1.974,3.876,5
Eswatini,General government net lending/borrowing,Percent of GDP,,,-8.04,-8.932,-7.557
Eswatini,Current account balance,Percent of GDP,,,6.163,3.516,3.996
Ethiopia,"Gross domestic product, constant prices",Percent change,,,8.967,3.237,4.334
Ethiopia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,243.618,253.102,269.22
Ethiopia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,6.206,1.612,2.691
Ethiopia,"Inflation, average consumer prices",Percent change,,,15.81,15.366,9.146
Ethiopia,"Inflation, end of period consumer prices",Percent change,,,19.515,10.24,8.02
Ethiopia,General government net lending/borrowing,Percent of GDP,,,-2.528,-2.993,-3.428
Ethiopia,Current account balance,Percent of GDP,,,-5.317,-5.269,-4.64
Fiji,"Gross domestic product, constant prices",Percent change,,,0.5,-5.8,7
Fiji,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,10.631,10.078,10.994
Fiji,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.054,-6.32,6.41
Fiji,"Inflation, average consumer prices",Percent change,,,1.9,1.2,1.5
Fiji,"Inflation, end of period consumer prices",Percent change,,,1.9,1.2,1.5
Fiji,Unemployment rate,Percent of total labor force,,,4.5,13.351,6.304
Fiji,General government net lending/borrowing,Percent of GDP,,,-4.933,-10.6,-4.55
Fiji,Current account balance,Percent of GDP,,,-7.2,-8.181,-6
Finland,"Gross domestic product, constant prices",Percent change,,,0.98,-6.031,3.096
Finland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,265.879,251.431,264.27
Finland,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.892,-6.212,2.907
Finland,"Inflation, average consumer prices",Percent change,,,1.137,0.94,1.676
Finland,"Inflation, end of period consumer prices",Percent change,,,1.137,0.775,2.018
Finland,Unemployment rate,Percent of total labor force,,,6.717,8.265,8.383
Finland,General government net lending/borrowing,Percent of GDP,,,-1.36,-6.703,-3.836
Finland,Current account balance,Percent of GDP,,,-0.1,-3.479,-2.974
France,"Gross domestic product, constant prices",Percent change,,,1.31,-7.18,4.47
France,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"3,061.82","2,860.02","3,046.13"
France,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.179,-7.424,4.186
France,"Inflation, average consumer prices",Percent change,,,1.3,0.288,0.699
France,"Inflation, end of period consumer prices",Percent change,,,1.623,-0.698,1.321
France,Unemployment rate,Percent of total labor force,,,8.45,10.398,10.397
France,General government net lending/borrowing,Percent of GDP,,,-3.015,-9.172,-6.243
France,Current account balance,Percent of GDP,,,-0.758,-0.725,-0.599
Gabon,"Gross domestic product, constant prices",Percent change,,,3.402,-1.196,3.568
Gabon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,39.81,39.584,41.795
Gabon,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.028,-2.477,2.262
Gabon,"Inflation, average consumer prices",Percent change,,,2.022,3,3
Gabon,"Inflation, end of period consumer prices",Percent change,,,1.021,3,3
Gabon,General government net lending/borrowing,Percent of GDP,,,1.939,-2.701,-1.254
Gabon,Current account balance,Percent of GDP,,,-0.83,-8.377,-6.146
The Gambia,"Gross domestic product, constant prices",Percent change,,,5.975,2.5,6.48
The Gambia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,6.412,6.614,7.18
The Gambia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.876,-0.491,3.376
The Gambia,"Inflation, average consumer prices",Percent change,,,7.116,6.747,6.043
The Gambia,"Inflation, end of period consumer prices",Percent change,,,7.676,6.184,5.829
The Gambia,General government net lending/borrowing,Percent of GDP,,,-2.607,-2.368,-2.063
The Gambia,Current account balance,Percent of GDP,,,-5.364,-9.762,-9.801
Georgia,"Gross domestic product, constant prices",Percent change,,,5.148,-3.999,3
Georgia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,47.91,46.286,48.605
Georgia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.32,-3.485,2.92
Georgia,"Inflation, average consumer prices",Percent change,,,4.853,4.641,3.693
Georgia,"Inflation, end of period consumer prices",Percent change,,,6.997,3.5,3.041
Georgia,Unemployment rate,Percent of total labor force,,,11.6,n/a,n/a
Georgia,General government net lending/borrowing,Percent of GDP,,,-1.816,-7.488,-3.409
Georgia,Current account balance,Percent of GDP,,,-5.057,-10.468,-6.861
Germany,"Gross domestic product, constant prices",Percent change,,,0.565,-6.952,5.151
Germany,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"4,443.57","4,160.93","4,460.55"
Germany,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.322,-6.961,5.215
Germany,"Inflation, average consumer prices",Percent change,,,1.346,0.322,1.183
Germany,"Inflation, end of period consumer prices",Percent change,,,1.53,0.203,1.34
Germany,Unemployment rate,Percent of total labor force,,,3.158,3.886,3.452
Germany,General government net lending/borrowing,Percent of GDP,,,1.449,-5.523,-1.193
Germany,Current account balance,Percent of GDP,,,7.146,6.58,6.662
Ghana,"Gross domestic product, constant prices",Percent change,,,6.113,1.487,5.868
Ghana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,204.813,209.179,225.771
Ghana,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.954,-0.526,4.163
Ghana,"Inflation, average consumer prices",Percent change,,,7.208,9.653,8.547
Ghana,"Inflation, end of period consumer prices",Percent change,,,7.896,9.933,8.2
Ghana,General government net lending/borrowing,Percent of GDP,,,-7.389,-9.954,-5.42
Ghana,Current account balance,Percent of GDP,,,-2.729,-4.453,-2.956
Greece,"Gross domestic product, constant prices",Percent change,,,1.87,-10.04,5.064
Greece,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,323.653,293.009,313.849
Greece,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.028,-9.821,5.333
Greece,"Inflation, average consumer prices",Percent change,,,0.517,-0.456,1.015
Greece,"Inflation, end of period consumer prices",Percent change,,,1.05,-0.637,1.365
Greece,Unemployment rate,Percent of total labor force,,,17.3,22.328,18.987
Greece,General government net lending/borrowing,Percent of GDP,,,0.39,-8.974,-7.907
Greece,Current account balance,Percent of GDP,,,-2.107,-6.498,-3.386
Grenada,"Gross domestic product, constant prices",Percent change,,,3.142,-8.001,6.096
Grenada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,1.816,1.681,1.819
Grenada,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.676,-8.425,5.598
Grenada,"Inflation, average consumer prices",Percent change,,,0.81,0.237,1.216
Grenada,"Inflation, end of period consumer prices",Percent change,,,0.855,0.284,1.259
Grenada,General government net lending/borrowing,Percent of GDP,,,4.945,-0.431,2.025
Grenada,Current account balance,Percent of GDP,,,-15.788,-27.743,-18.025
Guatemala,"Gross domestic product, constant prices",Percent change,,,3.57,-1.963,5.456
Guatemala,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,152.779,150.731,162.054
Guatemala,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.509,-3.915,3.357
Guatemala,"Inflation, average consumer prices",Percent change,,,3.7,1.829,1.781
Guatemala,"Inflation, end of period consumer prices",Percent change,,,3.4,1.571,3.093
Guatemala,General government net lending/borrowing,Percent of GDP,,,-2.275,-4.444,-2.884
Guatemala,Current account balance,Percent of GDP,,,1.762,2.588,1.817
Guinea,"Gross domestic product, constant prices",Percent change,,,5.645,2.92,7.61
Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,33.392,34.585,37.943
Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.068,0.41,4.985
Guinea,"Inflation, average consumer prices",Percent change,,,9.471,8.5,8
Guinea,"Inflation, end of period consumer prices",Percent change,,,9.122,8.1,8
Guinea,General government net lending/borrowing,Percent of GDP,,,-0.465,-4.256,-4.08
Guinea,Current account balance,Percent of GDP,,,-13.701,-22.935,-16.134
Guinea-Bissau,"Gross domestic product, constant prices",Percent change,,,4.6,-1.5,3
Guinea-Bissau,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,3.696,3.664,3.847
Guinea-Bissau,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.348,-3.62,0.783
Guinea-Bissau,"Inflation, average consumer prices",Percent change,,,0.247,0.848,1.5
Guinea-Bissau,"Inflation, end of period consumer prices",Percent change,,,-0.095,1.1,1.5
Guinea-Bissau,General government net lending/borrowing,Percent of GDP,,,-4.934,-4.089,-3.865
Guinea-Bissau,Current account balance,Percent of GDP,,,-10.185,-7.39,-6.438
Guyana,"Gross domestic product, constant prices",Percent change,,,4.663,52.768,6.251
Guyana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,7.148,10.989,11.903
Guyana,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.349,52.311,5.933
Guyana,"Inflation, average consumer prices",Percent change,,,2.092,1.808,3.005
Guyana,"Inflation, end of period consumer prices",Percent change,,,2.061,1.937,3.908
Guyana,General government net lending/borrowing,Percent of GDP,,,-4.704,-0.28,-1.656
Guyana,Current account balance,Percent of GDP,,,-40.318,-20.384,-18.918
Haiti,"Gross domestic product, constant prices",Percent change,,,-1.197,-4,1.2
Haiti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,20.842,20.135,20.774
Haiti,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-2.348,-5.097,0.065
Haiti,"Inflation, average consumer prices",Percent change,,,17.346,22.189,21.318
Haiti,"Inflation, end of period consumer prices",Percent change,,,20.095,23,20
Haiti,General government net lending/borrowing,Percent of GDP,,,-2.368,-5.128,-3.012
Haiti,Current account balance,Percent of GDP,,,-1.411,-3.569,-0.814
Honduras,"Gross domestic product, constant prices",Percent change,,,2.651,-2.35,4.05
Honduras,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,51.385,50.496,53.566
Honduras,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.879,-4.036,2.254
Honduras,"Inflation, average consumer prices",Percent change,,,4.365,3.157,2.978
Honduras,"Inflation, end of period consumer prices",Percent change,,,4.084,2.4,4.2
Honduras,Unemployment rate,Percent of total labor force,,,4.109,8.031,5.767
Honduras,General government net lending/borrowing,Percent of GDP,,,0.089,-0.031,-0.474
Honduras,Current account balance,Percent of GDP,,,-0.656,-2.01,-2.046
Hong Kong SAR,"Gross domestic product, constant prices",Percent change,,,-1.188,-4.821,3.909
Hong Kong SAR,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,482.226,461.894,489.306
Hong Kong SAR,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.377,-5.002,3.309
Hong Kong SAR,"Inflation, average consumer prices",Percent change,,,2.865,2,2.5
Hong Kong SAR,"Inflation, end of period consumer prices",Percent change,,,2.865,2,2.5
Hong Kong SAR,Unemployment rate,Percent of total labor force,,,2.955,4.462,3.891
Hong Kong SAR,General government net lending/borrowing,Percent of GDP,,,-1.509,-6.946,0.013
Hong Kong SAR,Current account balance,Percent of GDP,,,6.25,6.021,4.989
Hungary,"Gross domestic product, constant prices",Percent change,,,4.928,-3.1,4.2
Hungary,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,335.752,327.41,347.813
Hungary,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.981,-3.05,4.253
Hungary,"Inflation, average consumer prices",Percent change,,,3.371,3.337,3.171
Hungary,"Inflation, end of period consumer prices",Percent change,,,4.033,2.988,3.092
Hungary,Unemployment rate,Percent of total labor force,,,3.418,5.395,3.983
Hungary,General government net lending/borrowing,Percent of GDP,,,-2.048,-2.99,-1.616
Hungary,Current account balance,Percent of GDP,,,-0.774,-0.123,-0.581
Iceland,"Gross domestic product, constant prices",Percent change,,,1.919,-7.206,6.048
Iceland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,20.046,18.72,20.239
Iceland,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.52,-8.939,4.35
Iceland,"Inflation, average consumer prices",Percent change,,,3.013,2.28,2.5
Iceland,"Inflation, end of period consumer prices",Percent change,,,2.033,2.6,2.5
Iceland,Unemployment rate,Percent of total labor force,,,3.55,8,7
Iceland,General government net lending/borrowing,Percent of GDP,,,-0.995,-6.718,-3.99
Iceland,Current account balance,Percent of GDP,,,5.816,2.131,3.409
India,"Gross domestic product, constant prices",Percent change,,,4.228,1.871,7.425
India,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"11,043.18","11,321.28","12,399.00"
India,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.875,0.548,6.03
India,"Inflation, average consumer prices",Percent change,,,4.536,3.342,3.624
India,"Inflation, end of period consumer prices",Percent change,,,5.766,2.734,3.849
India,General government net lending/borrowing,Percent of GDP,,,-7.442,-7.422,-7.301
India,Current account balance,Percent of GDP,,,-1.126,-0.592,-1.422
Indonesia,"Gross domestic product, constant prices",Percent change,,,5.025,0.499,8.204
Indonesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"3,735.64","3,778.13","4,167.80"
Indonesia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.943,-0.504,7.153
Indonesia,"Inflation, average consumer prices",Percent change,,,2.82,2.87,2.937
Indonesia,"Inflation, end of period consumer prices",Percent change,,,2.586,3.092,3
Indonesia,Unemployment rate,Percent of total labor force,,,5.28,7.5,6
Indonesia,General government net lending/borrowing,Percent of GDP,,,-2.229,-5.01,-3.978
Indonesia,Current account balance,Percent of GDP,,,-2.715,-3.169,-2.684
Islamic Republic of Iran,"Gross domestic product, constant prices",Percent change,,,-7.586,-5.985,3.117
Islamic Republic of Iran,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,491.45","1,411.09","1,483.45"
Islamic Republic of Iran,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-8.595,-6.967,2.09
Islamic Republic of Iran,"Inflation, average consumer prices",Percent change,,,41.06,34.215,33.5
Islamic Republic of Iran,"Inflation, end of period consumer prices",Percent change,,,26.431,42,25
Islamic Republic of Iran,Unemployment rate,Percent of total labor force,,,13.58,16.327,16.669
Islamic Republic of Iran,General government net lending/borrowing,Percent of GDP,,,-5.593,-9.812,-7.715
Islamic Republic of Iran,Current account balance,Percent of GDP,,,-0.058,-4.146,-3.446
Iraq,"Gross domestic product, constant prices",Percent change,,,3.914,-4.723,7.195
Iraq,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,708.265,679.098,742.149
Iraq,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.281,-7.138,4.478
Iraq,"Inflation, average consumer prices",Percent change,,,-0.199,0.8,1
Iraq,"Inflation, end of period consumer prices",Percent change,,,0.096,1,1
Iraq,General government net lending/borrowing,Percent of GDP,,,-0.771,-22.298,-14.699
Iraq,Current account balance,Percent of GDP,,,-1.203,-21.664,-14.073
Ireland,"Gross domestic product, constant prices",Percent change,,,5.543,-6.781,6.274
Ireland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,417.875,392.014,424.732
Ireland,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.18,-7.886,5.274
Ireland,"Inflation, average consumer prices",Percent change,,,0.877,0.4,1.7
Ireland,"Inflation, end of period consumer prices",Percent change,,,0,1.492,1.8
Ireland,Unemployment rate,Percent of total labor force,,,4.992,12.109,7.866
Ireland,General government net lending/borrowing,Percent of GDP,,,0.302,-5.239,-0.76
Ireland,Current account balance,Percent of GDP,,,-9.457,6.265,5.309
Israel,"Gross domestic product, constant prices",Percent change,,,3.503,-6.288,4.978
Israel,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,354.878,334.675,358.186
Israel,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.549,-8.057,2.996
Israel,"Inflation, average consumer prices",Percent change,,,0.842,-1.902,0.543
Israel,"Inflation, end of period consumer prices",Percent change,,,0.601,-1.5,0.275
Israel,Unemployment rate,Percent of total labor force,,,3.8,12,7.6
Israel,General government net lending/borrowing,Percent of GDP,,,-3.906,-10.211,-5.864
Israel,Current account balance,Percent of GDP,,,3.472,3.545,3.152
Italy,"Gross domestic product, constant prices",Percent change,,,0.301,-9.134,4.83
Italy,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"2,454.81","2,244.77","2,399.06"
Italy,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.508,-8.943,5.048
Italy,"Inflation, average consumer prices",Percent change,,,0.634,0.24,0.655
Italy,"Inflation, end of period consumer prices",Percent change,,,0.484,0.24,0.655
Italy,Unemployment rate,Percent of total labor force,,,9.95,12.7,10.5
Italy,General government net lending/borrowing,Percent of GDP,,,-1.639,-8.339,-3.474
Italy,Current account balance,Percent of GDP,,,2.957,3.051,3.05
Jamaica,"Gross domestic product, constant prices",Percent change,,,0.97,-5.605,3.501
Jamaica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,27.913,26.516,27.98
Jamaica,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.013,-5.565,3.545
Jamaica,"Inflation, average consumer prices",Percent change,,,3.91,5.1,5.15
Jamaica,"Inflation, end of period consumer prices",Percent change,,,6.243,4.9,5.4
Jamaica,General government net lending/borrowing,Percent of GDP,,,0.17,-0.912,-0.16
Jamaica,Current account balance,Percent of GDP,,,-1.924,-7.834,-3.112
Japan,"Gross domestic product, constant prices",Percent change,,,0.654,-5.163,3.012
Japan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"5,711.93","5,451.45","5,725.13"
Japan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.897,-4.836,3.402
Japan,"Inflation, average consumer prices",Percent change,,,0.477,0.227,0.379
Japan,"Inflation, end of period consumer prices",Percent change,,,0.478,--,0.362
Japan,Unemployment rate,Percent of total labor force,,,2.358,3,2.267
Japan,General government net lending/borrowing,Percent of GDP,,,-2.825,-7.09,-2.061
Japan,Current account balance,Percent of GDP,,,3.617,1.659,1.885
Jordan,"Gross domestic product, constant prices",Percent change,,,2.021,-3.735,3.656
Jordan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,96.263,93.256,98.55
Jordan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.339,-5.045,2.534
Jordan,"Inflation, average consumer prices",Percent change,,,0.297,0.2,1.6
Jordan,"Inflation, end of period consumer prices",Percent change,,,0.575,1.363,1.016
Jordan,Unemployment rate,Percent of total labor force,,,19.075,n/a,n/a
Jordan,General government net lending/borrowing,Percent of GDP,,,-6.077,-6.698,-5.661
Jordan,Current account balance,Percent of GDP,,,-2.758,-5.769,-5.264
Kazakhstan,"Gross domestic product, constant prices",Percent change,,,4.5,-2.53,4.134
Kazakhstan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,540.984,530.646,563.356
Kazakhstan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.173,-3.768,2.811
Kazakhstan,"Inflation, average consumer prices",Percent change,,,5.244,6.902,6.766
Kazakhstan,"Inflation, end of period consumer prices",Percent change,,,5.4,8.093,6.493
Kazakhstan,Unemployment rate,Percent of total labor force,,,4.779,7.779,5.779
Kazakhstan,General government net lending/borrowing,Percent of GDP,,,-0.577,-5.264,-2.681
Kazakhstan,Current account balance,Percent of GDP,,,-3.623,-6.789,-5.485
Kenya,"Gross domestic product, constant prices",Percent change,,,5.626,1.01,6.133
Kenya,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,191.243,194.401,210.345
Kenya,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.778,-1.695,3.311
Kenya,"Inflation, average consumer prices",Percent change,,,5.204,5.1,5
